DEPT,Vp,Vs,DEN,phi,Kbulk_GPa,K_bg_depth,phi_bg_depth
1978.7616,3631.11753360392,1881.4989027676181,2.5911,0.11574848484848484,21.933567481137093,22.421517446184428,0.11525606060606061
1978.914,3688.3713444524988,1887.3497411395804,2.5763,0.11778333333333335,22.812186139184067,22.421517446184428,0.11525606060606061
1979.0664,3755.359518998571,1954.126746404612,2.5556,0.11515606060606055,23.029133451374346,22.36562419539774,0.11525606060606061
1979.2188,3844.271682045435,2080.6923626712323,2.5381,0.11540909090909088,22.858256743436907,22.35478181077819,0.11525606060606061
1979.3712,3808.895420328105,2144.7766455777705,2.5445,0.11626969696969688,21.30830926148625,22.328069029457744,0.11525606060606061
1979.5236,3719.7722737840263,2153.7911458550475,2.5673,0.11806060606060606,19.643997271076643,22.315226920459974,0.11525606060606061
1979.676,3637.4485351154603,2086.9836718177094,2.5851,0.11666666666666659,19.191000106607966,22.285679570433075,0.11525606060606061
1979.8284,3647.1414571574555,2018.5336889166742,2.5878,0.1146984848484848,20.36340631912209,22.2839438503682,0.11525606060606061
1979.9808,3704.540979661487,1993.934461833949,2.5805,0.1131606060606061,21.734496125060836,22.261263658541797,0.11525606060606061
1980.1332,3731.229089876348,2027.062076780962,2.5737,0.11862121212121207,21.73085485668192,22.029150536364824,0.11525606060606061
1980.2856,3737.579720932286,2072.8884149476476,2.5647,0.11989848484848475,21.13401794036431,22.00256870489777,0.11525606060606061
1980.438,3822.8447583881843,2189.917899633074,2.5586,0.11989696969696961,21.031235299856974,22.00256870489777,0.11525606060606061
1980.5904,3879.9358435805393,2233.4038965863656,2.5555,0.11448636363636364,21.474151514705834,22.00256870489777,0.11525606060606061
1980.7428,3902.738831483118,2266.9193399159276,2.5479,0.11448939393939396,21.35005839513541,22.00256870489777,0.11540909090909088
1980.8952,3891.0456163822214,2277.4345685875423,2.5259,0.12545606060606057,20.774580379705288,22.029150536364824,0.11553636363636363
1981.0476,3885.6784448107455,2258.8185074901176,2.5074,0.13781212121212116,20.800092177168885,22.261263658541797,0.11570454545454545
1981.2,3950.709455649787,2236.0040670625153,2.5118,0.13192878787878784,22.46006251917288,22.2839438503682,0.11570454545454545
1981.3524,4079.038053624362,2244.9731162996245,2.55,0.10920303030303033,25.29263158354748,22.285679570433075,0.11570454545454545
1981.5048,4207.875685436444,2299.9607618242735,2.5898,0.08974242424242425,27.589463408614602,22.285679570433075,0.11553636363636363
1981.6572,4344.609647941228,2372.9391513939854,2.6223,0.06809393939393935,29.809902665515903,22.315226920459974,0.11540909090909088
1981.8096,4392.158671054983,2380.056253035587,2.6382,0.05577575757575759,30.967633326766563,22.343213234902883,0.11525606060606061
1981.962,4278.95772002308,2330.7260502222525,2.6402,0.05766969696969691,29.217598892345535,22.35478181077819,0.11515606060606055
